brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Arotz,Ebro Foods,Processed Foods,0,0,1,CL-01,0.0,274152,2897,Brazil,1,0
Arrezzio,Sysco,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,78800,Italy,1,0
Arrid,"Church & Dwight Co., Inc.",Household & Personal Products,3,0,-1,CL-01,0.6,99310,5190,United States,1,0
Arrowhead,Nestle,Processed Foods,3,0,-1,CL-01,0.0,3470000,105520,United States,1,0
Arrowhead Mills,Hain Celestial Group Inc.,Processed Foods,3,0,-1,CL-01,0.0,43621,2054,United States,1,0
ART,Young Living Essential Oils LC,Household & Personal Products,0,0,-1,CL-01,1.0,0,2200,United States,1,0
Art Class,Target,Multiline and Specialty Retailers & Distributors,0,0,-1,CL-01,0.0,1671179,109120,United States,1,0
Artistry,Amway Corporation,Household & Personal Products,0,0,1,CL-01,1.0,0,3500,United States,1,0
Artistry Men,Amway Corporation,Household & Personal Products,0,0,-1,CL-01,1.0,0,3500,United States,1,0
Asgrow,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,1,0
Asian Gourmet,United Natural Foods Inc.,Food Retailers & Distributors,0,0,-1,CL-01,0.0,563588,27000,United States,1,0
Aspen Ridge Natural Beef,JBS USA,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,5558685,374900,United States,1,0
Aspirin,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,1,0
Aspirin Cardio,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
Associated British Foods,Associated British Foods plc,Processed Foods,3,0,-1,CL-01,0.0,2907000,16921,United Kingdom,1,0
Associated Food Stores,Associated Food Stores,Processed Foods,3,0,-1,CL-01,0.0,2660014,13884,United States,1,0
Associated Milk Producers,Associated Milk Producers Inc.,"Meat, Poultry & Dairy",3,0,-1,CL-01,1.0,0,1600,United States,1,0
Associated Wholesale Grocers,Associated Wholesale Grocers,Food Retailers & Distributors,3,0,-1,CL-01,1.0,0,12400,United States,1,0
Astro,Parmalat S.p.A.,"Meat, Poultry & Dairy",3,0,-1,CL-01,1.0,0,6045,Canada,1,0
Astro,Kraft Heinz,Processed Foods,3,0,-1,CL-01,0.0,959333,26042,Canada,1,0
At Home with Meijer,Meijer Inc.,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,20500,United States,1,0
Athenos,Kraft Heinz,Processed Foods,0,0,0,CL-01,0.0,959333,26042,United States,1,0
Atlantic Superstore,Loblaw Cos. Ltd.,Food Retailers & Distributors,0,0,7,CL-01,0.6,1114352,56500,Canada,1,0
Atmosphere,Amway Corporation,Household & Personal Products,0,0,-1,CL-01,1.0,0,3500,Canada,1,0
Atomic FireBall,Ferrero Group,Processed Foods,3,0,-1,CL-01,0.6,547505,12700,United States,1,0
